measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
29,Summary exposure value,13,Malaysia,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,16.87901783571348,19.12198268126282,14.84585153819198
29,Summary exposure value,13,Malaysia,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,12.14176042967185,18.1648045334698,7.98387136806213
29,Summary exposure value,13,Malaysia,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,24.867407841967783,30.13122346501117,19.725944995677462
29,Summary exposure value,17,Sri Lanka,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,10.43618718970058,27.155098141437772,3.1255893593585
29,Summary exposure value,17,Sri Lanka,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,8.203342913564681,10.535432077434551,5.8326523267802095
29,Summary exposure value,18,Thailand,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,14.512048801575089,16.87916100839798,12.32913787509762
29,Summary exposure value,22,Fiji,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,30.88370648559272,33.974093452939655,27.00671514011659
29,Summary exposure value,22,Fiji,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,17.11095041948025,45.073807194633666,4.9241686578073
29,Summary exposure value,26,Papua New Guinea,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,19.46460184514346,24.67826401609492,14.874253161858661
29,Summary exposure value,26,Papua New Guinea,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,3.76464127062866,9.28036772839983,1.4538855834484299
29,Summary exposure value,26,Papua New Guinea,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,20.16792859062154,25.22939851331023,15.15388604321363
29,Summary exposure value,30,Vanuatu,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,24.30660227996446,27.301597499751868,20.762800236653458
29,Summary exposure value,30,Vanuatu,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,8.644495007325741,22.946052051812497,2.7258646598901404
29,Summary exposure value,30,Vanuatu,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,6.60624572471164,9.26547451607974,4.33123120198877
29,Summary exposure value,34,Azerbaijan,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,25.44197823347173,28.77353048233268,21.43957738147957
29,Summary exposure value,34,Azerbaijan,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,13.00616182388955,32.6426117398952,3.7255198297950596
29,Summary exposure value,34,Azerbaijan,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,10.195198127647501,13.38496142373891,7.273779791959189
29,Summary exposure value,38,Mongolia,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,24.304819674793478,26.474252806467756,22.37219601664
29,Summary exposure value,38,Mongolia,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,7.10570707710145,18.4440202600688,2.25704238492952
29,Summary exposure value,38,Mongolia,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,7.16273597192197,9.43615653104561,5.262921924418261
29,Summary exposure value,46,Croatia,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,25.538613545571632,28.0233560401617,23.31428840207031
29,Summary exposure value,46,Croatia,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,26.906266838220738,54.38862866225445,9.542291972775411
29,Summary exposure value,46,Croatia,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,15.250730307913871,19.61297312440098,11.592286783636439
29,Summary exposure value,50,Montenegro,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,27.045145133248873,33.35789079006466,21.53856051055885
29,Summary exposure value,50,Montenegro,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,2014,15.715478875493611,34.51423313286613,5.38735140490983
29,Summary exposure value,50,Montenegro,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,2014,15.59234674552162,20.2994441695866,11.43975380625157
29,Summary exposure value,54,Slovakia,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,2014,24.7130418490558,27.31087935445846,22.22949320516036
