population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,29,Summary exposure value,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,98,Tobacco,3,Rate,1990,28.003811039640432,31.08945396220365,25.11572109689514
1,All Population,29,Summary exposure value,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,1990,9.9443521148822,14.83433318991084,7.01255138199361
1,All Population,29,Summary exposure value,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,1990,1.72820344639407,3.2884334295922004,0.8254634501268401
1,All Population,29,Summary exposure value,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,1990,16.21140772850132,20.69470684137444,12.22559442457294
1,All Population,29,Summary exposure value,11,Indonesia,3,Both,27,Age-standardized,98,Tobacco,3,Rate,1990,27.89720533228028,29.64830100916457,26.155838766144917
1,All Population,29,Summary exposure value,11,Indonesia,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,1990,5.65797062377544,6.94400844425348,4.470187955667511
1,All Population,29,Summary exposure value,11,Indonesia,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,1990,1.6389813953813799,2.62312374695076,0.98858072674583
1,All Population,29,Summary exposure value,11,Indonesia,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,1990,22.86067829278219,26.76126989095916,18.38607183790372
1,All Population,29,Summary exposure value,213,Niger,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,1990,1.66624105738086,3.2083325549194996,0.8239114373526399
1,All Population,29,Summary exposure value,213,Niger,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,1990,14.51647762520012,18.92322887348529,10.57937573072461
1,All Population,29,Summary exposure value,217,Sierra Leone,3,Both,27,Age-standardized,98,Tobacco,3,Rate,1990,20.366133683461392,22.68271597911084,18.1144431026819
1,All Population,29,Summary exposure value,12,Lao People's Democratic Republic,3,Both,27,Age-standardized,98,Tobacco,3,Rate,1990,30.292150030516467,33.47959426139836,27.51573681720723
1,All Population,29,Summary exposure value,15,Myanmar,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,1990,5.13116321192687,6.66653427735696,3.7754245326096
1,All Population,29,Summary exposure value,15,Myanmar,3,Both,27,Age-standardized,118,Diet high in sugar-sweetened beverages,3,Rate,1990,1.54502177782493,2.77572981224,0.79701574602609
1,All Population,29,Summary exposure value,15,Myanmar,3,Both,27,Age-standardized,125,Low physical activity,3,Rate,1990,5.20488389751082,7.44175614715162,3.50034997243902
1,All Population,29,Summary exposure value,217,Sierra Leone,3,Both,27,Age-standardized,108,High body-mass index,3,Rate,1990,9.1303400772917,11.82246216550012,6.943724545230751
